08/04/2023 05:19:54 AM epoch: 41, loss_train: 0.2451, accuracy_train: 0.9209, loss_valid: 0.3010, accuracy_valid: 0.8990, 0.8225sec
08/04/2023 05:19:55 AM epoch: 42, loss_train: 0.2423, accuracy_train: 0.9222, loss_valid: 0.2998, accuracy_valid: 0.8997, 0.6952sec
08/04/2023 05:19:55 AM epoch: 43, loss_train: 0.2399, accuracy_train: 0.9213, loss_valid: 0.2991, accuracy_valid: 0.9004, 0.6850sec
08/04/2023 05:19:56 AM epoch: 44, loss_train: 0.2393, accuracy_train: 0.9233, loss_valid: 0.2989, accuracy_valid: 0.8997, 0.6852sec
08/04/2023 05:19:57 AM epoch: 45, loss_train: 0.2370, accuracy_train: 0.9231, loss_valid: 0.2978, accuracy_valid: 0.9027, 0.6889sec
08/04/2023 05:19:57 AM epoch: 46, loss_train: 0.2363, accuracy_train: 0.9233, loss_valid: 0.2983, accuracy_valid: 0.9019, 0.6896sec
08/04/2023 05:19:58 AM epoch: 47, loss_train: 0.2334, accuracy_train: 0.9246, loss_valid: 0.2968, accuracy_valid: 0.9012, 0.7176sec
08/04/2023 05:19:59 AM epoch: 48, loss_train: 0.2320, accuracy_train: 0.9252, loss_valid: 0.2966, accuracy_valid: 0.9019, 0.6997sec
08/04/2023 05:19:59 AM epoch: 49, loss_train: 0.2308, accuracy_train: 0.9261, loss_valid: 0.2961, accuracy_valid: 0.9012, 0.6930sec
08/04/2023 05:20:00 AM epoch: 50, loss_train: 0.2281, accuracy_train: 0.9266, loss_valid: 0.2953, accuracy_valid: 0.9027, 0.6912sec
08/04/2023 05:20:01 AM epoch: 51, loss_train: 0.2270, accuracy_train: 0.9274, loss_valid: 0.2945, accuracy_valid: 0.9012, 0.7140sec
08/04/2023 05:20:02 AM epoch: 52, loss_train: 0.2254, accuracy_train: 0.9281, loss_valid: 0.2945, accuracy_valid: 0.9034, 0.6950sec
08/04/2023 05:20:02 AM epoch: 53, loss_train: 0.2246, accuracy_train: 0.9284, loss_valid: 0.2946, accuracy_valid: 0.9027, 0.6923sec
08/04/2023 05:20:03 AM epoch: 54, loss_train: 0.2224, accuracy_train: 0.9281, loss_valid: 0.2939, accuracy_valid: 0.9019, 0.6954sec
08/04/2023 05:20:04 AM epoch: 55, loss_train: 0.2205, accuracy_train: 0.9299, loss_valid: 0.2934, accuracy_valid: 0.9019, 0.6945sec
08/04/2023 05:20:04 AM epoch: 56, loss_train: 0.2200, accuracy_train: 0.9304, loss_valid: 0.2933, accuracy_valid: 0.9019, 0.6993sec
08/04/2023 05:20:05 AM epoch: 57, loss_train: 0.2191, accuracy_train: 0.9304, loss_valid: 0.2935, accuracy_valid: 0.9004, 0.6913sec
08/04/2023 05:20:06 AM epoch: 58, loss_train: 0.2170, accuracy_train: 0.9308, loss_valid: 0.2928, accuracy_valid: 0.9034, 0.6944sec
08/04/2023 05:20:06 AM epoch: 59, loss_train: 0.2159, accuracy_train: 0.9319, loss_valid: 0.2932, accuracy_valid: 0.9019, 0.6836sec
08/04/2023 05:20:07 AM epoch: 60, loss_train: 0.2135, accuracy_train: 0.9322, loss_valid: 0.2920, accuracy_valid: 0.9027, 0.6890sec
08/04/2023 05:20:08 AM epoch: 61, loss_train: 0.2129, accuracy_train: 0.9326, loss_valid: 0.2923, accuracy_valid: 0.9042, 0.6844sec
08/04/2023 05:20:08 AM epoch: 62, loss_train: 0.2118, accuracy_train: 0.9326, loss_valid: 0.2928, accuracy_valid: 0.9027, 0.6837sec
08/04/2023 05:20:09 AM epoch: 63, loss_train: 0.2108, accuracy_train: 0.9339, loss_valid: 0.2915, accuracy_valid: 0.9027, 0.6905sec
08/04/2023 05:20:10 AM epoch: 64, loss_train: 0.2099, accuracy_train: 0.9335, loss_valid: 0.2919, accuracy_valid: 0.9034, 0.6831sec
08/04/2023 05:20:11 AM epoch: 65, loss_train: 0.2076, accuracy_train: 0.9343, loss_valid: 0.2910, accuracy_valid: 0.9057, 0.6871sec
08/04/2023 05:20:11 AM epoch: 66, loss_train: 0.2072, accuracy_train: 0.9346, loss_valid: 0.2919, accuracy_valid: 0.9049, 0.6876sec
08/04/2023 05:20:12 AM epoch: 67, loss_train: 0.2060, accuracy_train: 0.9353, loss_valid: 0.2909, accuracy_valid: 0.9034, 0.6864sec
08/04/2023 05:20:13 AM epoch: 68, loss_train: 0.2049, accuracy_train: 0.9343, loss_valid: 0.2916, accuracy_valid: 0.9027, 0.8076sec
08/04/2023 05:20:13 AM epoch: 69, loss_train: 0.2047, accuracy_train: 0.9344, loss_valid: 0.2921, accuracy_valid: 0.9019, 0.6833sec
08/04/2023 05:20:14 AM epoch: 70, loss_train: 0.2021, accuracy_train: 0.9364, loss_valid: 0.2906, accuracy_valid: 0.9094, 0.6936sec
08/04/2023 05:20:15 AM epoch: 71, loss_train: 0.2028, accuracy_train: 0.9355, loss_valid: 0.2923, accuracy_valid: 0.9019, 0.6864sec
08/04/2023 05:20:15 AM epoch: 72, loss_train: 0.2021, accuracy_train: 0.9359, loss_valid: 0.2915, accuracy_valid: 0.9057, 0.6886sec
08/04/2023 05:20:16 AM epoch: 73, loss_train: 0.1996, accuracy_train: 0.9367, loss_valid: 0.2907, accuracy_valid: 0.9064, 0.6892sec
08/04/2023 05:20:17 AM epoch: 74, loss_train: 0.1978, accuracy_train: 0.9377, loss_valid: 0.2906, accuracy_valid: 0.9079, 0.6822sec
08/04/2023 05:20:18 AM epoch: 75, loss_train: 0.1975, accuracy_train: 0.9378, loss_valid: 0.2903, accuracy_valid: 0.9072, 0.6875sec
08/04/2023 05:20:18 AM epoch: 76, loss_train: 0.1957, accuracy_train: 0.9385, loss_valid: 0.2901, accuracy_valid: 0.9072, 0.6892sec
08/04/2023 05:20:19 AM epoch: 77, loss_train: 0.1960, accuracy_train: 0.9386, loss_valid: 0.2903, accuracy_valid: 0.9072, 0.6869sec
08/04/2023 05:20:20 AM epoch: 78, loss_train: 0.1952, accuracy_train: 0.9383, loss_valid: 0.2915, accuracy_valid: 0.9102, 0.6847sec
08/04/2023 05:20:20 AM epoch: 79, loss_train: 0.1934, accuracy_train: 0.9391, loss_valid: 0.2905, accuracy_valid: 0.9064, 0.6846sec
08/04/2023 05:20:21 AM epoch: 80, loss_train: 0.1936, accuracy_train: 0.9384, loss_valid: 0.2905, accuracy_valid: 0.9079, 0.6874sec
08/04/2023 05:20:22 AM epoch: 81, loss_train: 0.1927, accuracy_train: 0.9393, loss_valid: 0.2906, accuracy_valid: 0.9064, 0.6984sec
08/04/2023 05:20:22 AM epoch: 82, loss_train: 0.1911, accuracy_train: 0.9401, loss_valid: 0.2903, accuracy_valid: 0.9094, 0.6912sec
08/04/2023 05:20:23 AM epoch: 83, loss_train: 0.1908, accuracy_train: 0.9388, loss_valid: 0.2905, accuracy_valid: 0.9079, 0.6896sec
08/04/2023 05:20:24 AM epoch: 84, loss_train: 0.1896, accuracy_train: 0.9398, loss_valid: 0.2901, accuracy_valid: 0.9072, 0.6903sec
08/04/2023 05:20:24 AM epoch: 85, loss_train: 0.1881, accuracy_train: 0.9403, loss_valid: 0.2909, accuracy_valid: 0.9102, 0.6884sec
08/04/2023 05:20:25 AM epoch: 86, loss_train: 0.1877, accuracy_train: 0.9409, loss_valid: 0.2903, accuracy_valid: 0.9102, 0.6891sec
08/04/2023 05:20:26 AM epoch: 87, loss_train: 0.1870, accuracy_train: 0.9409, loss_valid: 0.2902, accuracy_valid: 0.9079, 0.7059sec
08/04/2023 05:20:27 AM epoch: 88, loss_train: 0.1863, accuracy_train: 0.9415, loss_valid: 0.2899, accuracy_valid: 0.9079, 0.7178sec
08/04/2023 05:20:27 AM epoch: 89, loss_train: 0.1853, accuracy_train: 0.9418, loss_valid: 0.2907, accuracy_valid: 0.9087, 0.7037sec
08/04/2023 05:20:28 AM epoch: 90, loss_train: 0.1860, accuracy_train: 0.9407, loss_valid: 0.2908, accuracy_valid: 0.9102, 0.7281sec
08/04/2023 05:20:29 AM epoch: 91, loss_train: 0.1843, accuracy_train: 0.9417, loss_valid: 0.2919, accuracy_valid: 0.9079, 0.7259sec
